Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Reward Total,Running Mean 
800,3707,86.7,11.5,2022-08-10 03:39:31.740652,2022-08-10 10:54:12.166579,7:14:40.425927,-10.0,-15.335006368037154
800,3708,88.7,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:54:21.822827,7:14:50.082175,-14.0,-15.321656304356784
800,3709,88.5,10.4,2022-08-10 03:39:31.740652,2022-08-10 10:54:34.025954,7:15:02.285302,-8.0,-15.248439741313216
800,3710,86.1,11.0,2022-08-10 03:39:31.740652,2022-08-10 10:54:43.479080,7:15:11.738428,-20.0,-15.295955343900083
800,3711,89.2,11.1,2022-08-10 03:39:31.740652,2022-08-10 10:54:53.244704,7:15:21.504052,-15.0,-15.292995790461083
800,3712,87.4,11.0,2022-08-10 03:39:31.740652,2022-08-10 10:55:01.572833,7:15:29.832181,-16.0,-15.300065832556472
800,3713,89.3,11.1,2022-08-10 03:39:31.740652,2022-08-10 10:55:11.760331,7:15:40.019679,-17.0,-15.317065174230907
800,3714,88.0,10.3,2022-08-10 03:39:31.740652,2022-08-10 10:55:22.994706,7:15:51.254054,-14.0,-15.303894522488598
800,3715,88.7,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:55:33.479077,7:16:01.738425,-17.0,-15.320855577263712
800,3716,87.4,11.4,2022-08-10 03:39:31.740652,2022-08-10 10:55:45.338453,7:16:13.597801,-14.0,-15.307647021491075
800,3717,87.1,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:55:55.604075,7:16:23.863423,-15.0,-15.304570551276164
800,3718,86.9,10.2,2022-08-10 03:39:31.740652,2022-08-10 10:56:06.041583,7:16:34.300931,-17.0,-15.321524845763403
800,3719,87.4,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:56:17.682202,7:16:45.941550,-13.0,-15.298309597305769
800,3720,86.8,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:56:27.994700,7:16:56.254048,-19.0,-15.33532650133271
800,3721,86.7,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:56:37.775957,7:17:06.035305,-18.0,-15.361973236319383
800,3722,87.1,11.1,2022-08-10 03:39:31.740652,2022-08-10 10:56:46.932205,7:17:15.191553,-17.0,-15.37835350395619
800,3723,86.7,10.1,2022-08-10 03:39:31.740652,2022-08-10 10:56:55.791580,7:17:24.050928,-17.0,-15.394569968916628
800,3724,87.8,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:57:07.150951,7:17:35.410299,-17.0,-15.41062426922746
800,3725,87.8,11.1,2022-08-10 03:39:31.740652,2022-08-10 10:57:15.916579,7:17:44.175927,-19.0,-15.446518026535186
800,3726,88.3,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:57:25.979078,7:17:54.238426,-15.0,-15.442052846269835
800,3727,88.8,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:57:36.307203,7:18:04.566551,-17.0,-15.457632317807137
800,3728,86.2,10.2,2022-08-10 03:39:31.740652,2022-08-10 10:57:46.135329,7:18:14.394677,-17.0,-15.473055994629066
800,3729,88.3,11.1,2022-08-10 03:39:31.740652,2022-08-10 10:57:56.088450,7:18:24.347798,-12.0,-15.438325434682774
800,3730,88.4,11.5,2022-08-10 03:39:31.740652,2022-08-10 10:58:09.588459,7:18:37.847807,-9.0,-15.373942180335947
800,3731,88.9,11.4,2022-08-10 03:39:31.740652,2022-08-10 10:58:20.604078,7:18:48.863426,-12.0,-15.340202758532586
800,3732,87.5,10.4,2022-08-10 03:39:31.740652,2022-08-10 10:58:32.697827,7:19:00.957175,-16.0,-15.34680073094726
800,3733,87.8,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:58:44.041580,7:19:12.300928,-15.0,-15.343332723637788
800,3734,87.6,11.4,2022-08-10 03:39:31.740652,2022-08-10 10:58:56.307203,7:19:24.566551,-18.0,-15.36989939640141
800,3735,88.3,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:59:05.994705,7:19:34.254053,-14.0,-15.356200402437397
800,3736,87.7,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:59:16.572828,7:19:44.832176,-10.0,-15.302638398413022
800,3737,88.5,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:59:27.963452,7:19:56.222800,-12.0,-15.26961201442889
800,3738,87.5,11.3,2022-08-10 03:39:31.740652,2022-08-10 10:59:39.057204,7:20:07.316552,-14.0,-15.256915894284601
800,3739,88.9,11.2,2022-08-10 03:39:31.740652,2022-08-10 10:59:49.510326,7:20:17.769674,-17.0,-15.274346735341755
800,3740,86.6,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:00:00.838452,7:20:29.097800,-9.0,-15.211603267988338
800,3741,87.7,10.1,2022-08-10 03:39:31.740652,2022-08-10 11:00:09.854080,7:20:38.113428,-20.0,-15.259487235308454
800,3742,87.8,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:00:22.369704,7:20:50.629052,-14.0,-15.24689236295537
800,3743,88.5,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:00:32.666579,7:21:00.925927,-17.0,-15.264423439325816
800,3744,86.8,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:00:44.447828,7:21:12.707176,-13.0,-15.241779204932557
800,3745,88.0,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:00:54.291578,7:21:22.550926,-14.0,-15.229361412883232
800,3746,87.7,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:01:05.760330,7:21:34.019678,-16.0,-15.237067798754401
800,3747,86.7,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:01:16.135330,7:21:44.394678,-17.0,-15.254697120766856
800,3748,85.6,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:01:25.713456,7:21:53.972804,-17.0,-15.272150149559188
800,3749,87.2,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:01:35.635330,7:22:03.894678,-16.0,-15.279428648063597
800,3750,87.4,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:01:46.510325,7:22:14.769673,-16.0,-15.28663436158296
800,3751,86.9,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:01:57.369704,7:22:25.629052,-15.0,-15.28376801796713
800,3752,86.3,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:02:07.885330,7:22:36.144678,-9.0,-15.22093033778746
800,3753,86.3,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:02:17.900958,7:22:46.160306,-13.0,-15.198721034409585
800,3754,88.8,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:02:27.697830,7:22:55.957178,-13.0,-15.17673382406549
800,3755,87.7,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:02:38.119705,7:23:06.379053,-13.0,-15.154966485824836
800,3756,88.2,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:02:48.635328,7:23:16.894676,-13.0,-15.13341682096659
800,3757,87.2,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:02:59.229080,7:23:27.488428,-15.0,-15.132082652756925
800,3758,88.2,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:03:10.432201,7:23:38.691549,-17.0,-15.150761826229354
800,3759,87.5,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:03:20.947832,7:23:49.207180,-18.0,-15.17925420796706
800,3760,86.9,10.9,2022-08-10 03:39:31.740652,2022-08-10 11:03:30.104076,7:23:58.363424,-17.0,-15.19746166588739
800,3761,89.0,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:03:41.947827,7:24:10.207175,-15.0,-15.195487049228516
800,3762,87.8,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:03:50.307203,7:24:18.566551,-17.0,-15.21353217873623
800,3763,87.8,11.6,2022-08-10 03:39:31.740652,2022-08-10 11:04:04.166575,7:24:32.425923,-14.0,-15.201396856948868
800,3764,87.0,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:04:13.854078,7:24:42.113426,-15.0,-15.199382888379379
800,3765,86.7,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:04:23.400952,7:24:51.660300,-19.0,-15.237389059495584
800,3766,86.5,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:04:31.666579,7:24:59.925927,-17.0,-15.255015168900627
800,3767,87.2,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:04:43.557203,7:25:11.816551,-11.0,-15.21246501721162
800,3768,87.1,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:04:55.041583,7:25:23.300931,-14.0,-15.200340367039505
