Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Running Mean 
200,1476,69.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:51.778860,0:39:48.781153,-20.007554840772713
200,1477,63.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:53.356981,0:39:50.359274,-20.017479292364985
200,1478,70.2,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:03:55.138235,0:39:52.140528,-20.007304499441336
200,1479,65.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:03:56.716358,0:39:53.718651,-20.01723145444692
200,1480,68.0,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:03:58.278857,0:39:55.281150,-20.027059139902452
200,1481,66.1,9.7,2022-08-10 15:24:02.997707,2022-08-10 16:04:00.513232,0:39:57.515525,-20.006788548503426
200,1482,66.9,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:02.403860,0:39:59.406153,-19.986720663018392
200,1483,68.3,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:04.278861,0:40:01.281154,-19.99685345638821
200,1484,68.1,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:05.528860,0:40:02.531153,-20.006884921824327
200,1485,67.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:07.028861,0:40:04.031154,-19.996816072606084
200,1486,67.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:09.013233,0:40:06.015526,-19.986847911880023
200,1487,68.4,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:10.966360,0:40:07.968653,-19.996979432761222
200,1488,70.2,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:04:12.903859,0:40:09.906152,-19.97700963843361
200,1489,65.4,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:14.575734,0:40:11.578027,-19.957239542049273
200,1490,66.9,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:16.481979,0:40:13.484272,-19.95766714662878
200,1491,67.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:18.231984,0:40:15.234277,-19.95809047516249
200,1492,69.9,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:19.528858,0:40:16.531151,-19.958509570410865
200,1493,66.5,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:20.950733,0:40:17.953026,-19.948924474706757
200,1494,66.8,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:22.716360,0:40:19.718653,-19.93943522995969
200,1495,69.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:24.278860,0:40:21.281153,-19.940040877660095
200,1496,66.0,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:25.935102,0:40:22.937395,-19.920640468883494
200,1497,68.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:27.560108,0:40:24.562401,-19.92143406419466
200,1498,66.5,9.1,2022-08-10 15:24:02.997707,2022-08-10 16:04:29.263233,0:40:26.265526,-19.932219723552713
200,1499,68.1,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:31.044485,0:40:28.046778,-19.922897526317186
200,1500,65.9,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:32.966354,0:40:29.968647,-19.933668551054016
200,1501,69.9,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:34.731983,0:40:31.734276,-19.934331865543474
200,1502,66.7,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:36.419485,0:40:33.421778,-19.94498854688804
200,1503,64.6,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:37.966357,0:40:34.968650,-19.935538661419162
200,1504,72.7,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:39.653862,0:40:36.656155,-19.93618327480497
200,1505,65.8,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:41.388230,0:40:38.390523,-19.93682144205692
200,1506,70.6,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:43.247611,0:40:40.249904,-19.927453227636352
200,1507,70.2,9.2,2022-08-10 15:24:02.997707,2022-08-10 16:04:45.185109,0:40:42.187402,-19.92817869535999
200,1508,67.5,9.6,2022-08-10 15:24:02.997707,2022-08-10 16:04:47.372608,0:40:44.374901,-19.90889690840639
200,1509,67.7,9.4,2022-08-10 15:24:02.997707,2022-08-10 16:04:48.653862,0:40:45.656155,-19.91980793932233
200,1510,68.3,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:50.060105,0:40:47.062398,-19.930609859929106
200,1511,67.2,9.5,2022-08-10 15:24:02.997707,2022-08-10 16:04:51.466360,0:40:48.468653,-19.941303761329817
